X,Y,SITENUMBER,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,COMPLIANCE_MONITORING,FLOOD_CONTROL,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,OBJECTID
1663777.2804,5377877.3443,137703,BLACK BIRCH,BLACK BIRCH,BLACK BIRCH AT BLACK BIRCH,,N,,N,,,,,,,,,,,,1690,2573789,5939569,P29:73789-39569,1663777,5377877,BR28:6377-7787,3415703
1665157.6822,5383415.6342,137710,TYNTES FIELD,TYNTES FIELD,TYNTES FIELD AT TYNTES FIELD,,N,,N,,,,,,,,,,,,305,2575169,5945109,P29:75169-45109,1665157,5383415,BR28:6515-8341,3415704
1670665.0932,5375926.8937,137801,WELDS HILL,WELDS HILL,WELDS HILL AT WELDS HILL,,N,,N,,,,,,,,,,,,290,2580679,5937619,P29:80679-37619,1670665,5375926,BR28:7066-7592,3415705
1667905.5862,5374177.7727,137802,AOTEA,AOTEA,AOTEA AT AOTEA,,N,,N,,,,,,,,,,,,305,2577919,5935869,P29:77919-35869,1667905,5374177,BR28:6790-7417,3415706
1666526.514,5377856.9602,137803,BLACK BIRCH RANGE,BLACK BIRCH RANGE,BLACK BIRCH RANGE AT BLACK BIRCH RANGE,,N,,N,,,,,,,,,,,,1396,2576539,5939549,P29:76539-39549,1666526,5377856,BR28:6652-7785,3415707
1666536.7851,5379746.4424,137804,BLACK BIRCH LOWER,BLACK BIRCH LOWER,BLACK BIRCH LOWER AT BLACK BIRCH LOWER,,N,,N,,,,,,,,,,,,1067,2576549,5941439,P29:76549-41439,1666536,5379746,BR28:6653-7974,3415708
1677603.802,5379634.9001,137902,HILLSIDE,HILLSIDE,HILLSIDE AT HILLSIDE,,N,,N,,,,,,,,,,,,213,2587619,5941329,P29:87619-41329,1677603,5379634,BR28:7760-7963,3415709
1663716.1879,5370439.4402,138701,DUNTROON,DUNTROON,DUNTROON AT DUNTROON,,N,,N,,,,,,,,,,,,350,2573729,5932129,P29:73729-32129,1663716,5370439,BR28:6371-7043,3415710
1663716.1879,5370439.4402,138702,"AWATERE VLY,JORDAN","AWATERE VLY,JORDAN","AWATERE VLY,JORDAN AT AWATERE VLY,JORDAN",,N,,N,,,,,,,,,,,,305,2573729,5932129,P29:73729-32129,1663716,5370439,BR28:6371-7043,3415711
1660686.7098,5368210.532,138746,AWATERE,AWAPIRI,AWATERE AT AWAPIRI,,N,,N,,,,,,,,,,,,340,2570699,5929899,P29:70699-29899,1660686,5368210,BS28:6068-6821,3415712
1670624.5444,5372267.8954,138801,UPTON FELLS,UPTON FELLS,UPTON FELLS AT UPTON FELLS,,N,,N,,,,,,,,,,,,390,2580639,5933959,P29:80639-33959,1670624,5372267,BR28:7062-7226,3415713
